lon,lat,depth,strike,dip,id,alen,blen,clen,slen,dlen
288.0,-19.4,4.77525714286,319.0134,0.0,28800194.0,100.0,20.0,100.0,20.0,20.0
286.8,-19.2,4.62426631854,312.4698,0.0,28680192.0,100.0,20.0,100.0,20.0,20.0
287.0,-19.2,4.68037179487,314.2727,0.0,28700192.0,100.0,20.0,100.0,20.0,20.0
287.2,-19.2,4.68656232687,316.0757,0.0,28720192.0,100.0,20.0,100.0,20.0,20.0
287.4,-19.2,4.7063742515,316.915,0.0,28740192.0,100.0,20.0,100.0,20.0,20.0
287.6,-19.2,4.73265100671,317.3347,0.0,28760192.0,100.0,20.0,100.0,20.0,20.0
287.8,-19.2,4.77300775194,317.7543,0.0,28780192.0,100.0,20.0,100.0,20.0,20.0
288.0,-19.2,4.86087727273,318.5937,0.0,28800192.0,100.0,20.0,100.0,20.0,20.0
286.6,-19.0,4.64441775457,310.6669,0.0,28660190.0,100.0,20.0,100.0,20.0,20.0
286.8,-19.0,4.69321315789,310.6669,0.0,28680190.0,100.0,20.0,100.0,20.0,20.0
287.0,-19.0,4.71462154696,312.4698,0.0,28700190.0,100.0,20.0,100.0,20.0,20.0
287.2,-19.0,4.73566066066,314.2727,0.0,28720190.0,100.0,20.0,100.0,20.0,20.0
287.4,-19.0,4.76546333333,316.0757,0.0,28740190.0,100.0,20.0,100.0,20.0,20.0
287.6,-19.0,4.79133082707,316.4954,0.0,28760190.0,100.0,20.0,100.0,20.0,20.0
287.8,-19.0,4.83720179372,317.3347,0.0,28780190.0,100.0,20.0,100.0,20.0,20.0
288.0,-19.0,9.5,327.0,7.5,28800190.0,100.0,20.0,100.0,20.0,20.0
286.2,-18.8,4.63526287263,307.1278,0.0,28620188.0,100.0,20.0,100.0,20.0,20.0
286.4,-18.8,4.65543152455,307.5618,0.0,28640188.0,100.0,20.0,100.0,20.0,20.0
286.6,-18.8,4.69607329843,308.4299,0.0,28660188.0,100.0,20.0,100.0,20.0,20.0
286.8,-18.8,4.71858055556,310.6669,0.0,28680188.0,100.0,20.0,100.0,20.0,20.0
287.0,-18.8,4.74406824926,310.6669,0.0,28700188.0,100.0,20.0,100.0,20.0,20.0
287.2,-18.8,4.77336454849,312.4698,0.0,28720188.0,100.0,20.0,100.0,20.0,20.0
287.4,-18.8,4.8163258427,314.2727,0.0,28740188.0,100.0,20.0,100.0,20.0,20.0
287.6,-18.8,4.86676855895,316.0757,0.0,28760188.0,100.0,20.0,100.0,20.0,20.0
287.8,-18.8,4.93538743455,316.4954,0.0,28780188.0,100.0,20.0,100.0,20.0,20.0
286.0,-18.6,4.6336997319,305.8257,0.0,28600186.0,100.0,20.0,100.0,20.0,20.0
286.2,-18.6,4.6737890625,306.2597,0.0,28620186.0,100.0,20.0,100.0,20.0,20.0
286.4,-18.6,4.70834933333,307.1278,0.0,28640186.0,100.0,20.0,100.0,20.0,20.0
286.6,-18.6,4.71598309859,307.5618,0.0,28660186.0,100.0,20.0,100.0,20.0,20.0
286.8,-18.6,4.74041337386,308.4299,0.0,28680186.0,100.0,20.0,100.0,20.0,20.0
287.0,-18.6,4.77639322034,308.8639,0.0,28700186.0,100.0,20.0,100.0,20.0,20.0
287.2,-18.6,4.83106870229,310.6669,0.0,28720186.0,100.0,20.0,100.0,20.0,20.0
287.4,-18.6,4.89434955752,312.4698,0.0,28740186.0,100.0,20.0,100.0,20.0,20.0
287.6,-18.6,4.96558421053,314.2727,0.0,28760186.0,100.0,20.0,100.0,20.0,20.0
287.8,-18.6,10.431306839,318.274993896,8.21916007996,28780186.0,100.0,20.0,100.0,20.0,20.0
288.0,-18.6,13.0052280426,320.303619385,10.1257839203,28800186.0,100.0,20.0,100.0,20.0,20.0
285.8,-18.4,4.63114550265,306.8034,0.0,28580184.0,100.0,20.0,100.0,20.0,20.0
286.0,-18.4,4.68202105263,306.8034,0.0,28600184.0,100.0,20.0,100.0,20.0,20.0
286.2,-18.4,4.7191253406,305.8257,0.0,28620184.0,100.0,20.0,100.0,20.0,20.0
286.4,-18.4,4.74228366762,306.6938,0.0,28640184.0,100.0,20.0,100.0,20.0,20.0
286.6,-18.4,4.76008333333,307.1278,0.0,28660184.0,100.0,20.0,100.0,20.0,20.0
286.8,-18.4,4.772778157,307.9959,0.0,28680184.0,100.0,20.0,100.0,20.0,20.0
287.0,-18.4,4.81834749035,308.4299,0.0,28700184.0,100.0,20.0,100.0,20.0,20.0
287.2,-18.4,4.87465777778,308.8639,0.0,28720184.0,100.0,20.0,100.0,20.0,20.0
287.4,-18.4,4.95311578947,310.6669,0.0,28740184.0,100.0,20.0,100.0,20.0,20.0
287.6,-18.4,10.5007963181,313.238555908,8.47280979156,28760184.0,100.0,20.0,100.0,20.0,20.0
287.8,-18.4,12.9206809998,314.684326172,10.3385763168,28780184.0,100.0,20.0,100.0,20.0,20.0
288.0,-18.4,15.9422702789,316.270263672,12.387336731,28800184.0,100.0,20.0,100.0,20.0,20.0
285.4,-18.2,4.60110427807,311.0382,0.0,28540182.0,100.0,20.0,100.0,20.0,20.0
285.6,-18.2,4.64214470284,309.6266,0.0,28560182.0,100.0,20.0,100.0,20.0,20.0
285.8,-18.2,4.68393899204,308.215,0.0,28580182.0,100.0,20.0,100.0,20.0,20.0
286.0,-18.2,4.71971544715,306.8034,0.0,28600182.0,100.0,20.0,100.0,20.0,20.0
286.2,-18.2,4.75138872404,305.3917,0.0,28620182.0,100.0,20.0,100.0,20.0,20.0
286.4,-18.2,4.7758566879,305.8257,0.0,28640182.0,100.0,20.0,100.0,20.0,20.0
286.6,-18.2,4.80380701754,306.6938,0.0,28660182.0,100.0,20.0,100.0,20.0,20.0
286.8,-18.2,4.84161660079,307.1278,0.0,28680182.0,100.0,20.0,100.0,20.0,20.0
287.0,-18.2,4.89072444444,307.9959,0.0,28700182.0,100.0,20.0,100.0,20.0,20.0
287.2,-18.2,9.5,309.1,8.0,28720182.0,100.0,20.0,100.0,20.0,20.0
287.4,-18.2,10.9185838699,309.861785889,9.07202339172,28740182.0,100.0,20.0,100.0,20.0,20.0
